,y,zhan,zhang,mao,arima
101,6000.0,6002.115510983767,5998.277777777777,5997.894736842105,5998.4318597528
102,5992.0,6011.2073070344895,6007.368421052632,6007.0,6011.249554913546
103,5986.0,6001.419139869228,5998.6,5998.285714285715,5998.077894845138
104,6008.0,5995.010792437043,5992.0,5991.727272727273,5992.42401630435
105,6006.0,6018.292779943065,6014.727272727273,6014.434782608696,6022.9030322570125
106,6039.0,6014.812168163161,6004.0,6005.0,6013.8024354648205
107,6076.0,6050.071806487012,6046.458333333333,6046.16,6056.870056522608
108,6091.0,6088.3403300748405,6084.64,6084.307692307692,6097.398123613042
109,6128.0,6103.2507590557725,6099.884615384615,6099.555555555556,6101.552017604285
110,6134.0,6141.585850739453,6137.925925925926,6137.571428571428,6141.193261907266
111,6127.0,6146.943326589468,6140.0,6137.0,6139.573591037022
112,6127.0,6138.371197187457,6126.5,6126.666666666667,6127.723315851165
113,6130.0,6137.721779146604,6126.666666666667,6126.75,6130.971757909454
114,6160.0,6140.340166697115,6130.5,6130.4,6139.635956537943
115,6202.0,6171.953239415456,6166.4,6165.333333333333,6179.562819596541
116,6201.0,6215.331122173885,6212.363636363636,6212.058823529412,6226.508151416159
117,6233.0,6213.2206496786475,6200.0,6200.5,6214.328561155952
118,6238.0,6246.219707836372,6243.657142857143,6243.361111111111,6255.365217043358
119,6225.0,6250.72521283793,6250.222222222223,6249.0,6245.495145979466
120,6233.0,6236.063016265596,6234.864864864865,6234.605263157895,6226.554273672953
121,6224.0,6244.14772943449,6242.815789473684,6242.5641025641025,6240.232348268758
122,6259.0,6233.324911320522,6215.0,6219.5,6232.724114440902
123,6266.0,6270.802923938973,6268.975,6268.731707317073,6279.869540297928
124,6283.0,6277.458442605886,6275.90243902439,6275.666666666667,6284.421171434333
125,6281.0,6294.778902601685,6293.071428571428,6292.837209302325,6300.060040507104
126,6272.0,6291.514917693274,6287.0,6286.333333333333,6291.3797493993925
127,6279.0,6280.8113050403945,6276.333333333333,6275.9,6278.737633308482
128,6286.0,6288.863135536293,6288.311111111111,6288.108695652174,6288.51235088838
129,6288.0,6295.786319131512,6286.75,6286.6,6298.773301516552
130,6318.0,6297.579468414599,6297.106382978724,6296.916666666667,6297.360293497267
131,6404.0,6328.978514409998,6323.833333333333,6323.0,6337.220682020105
132,6389.0,6418.268923720199,6415.102040816327,6414.88,6437.197775517241
133,6391.0,6401.011341200496,6374.0,6381.5,6396.807791233632
134,6397.0,6402.667352357123,6384.5,6386.666666666667,6392.198238194253
135,6410.0,6408.455519202732,6394.666666666667,6395.25,6399.557282341894
136,6390.0,6421.631468671472,6411.5,6411.2,6421.075331809693
137,6462.0,6399.087294435058,6387.2,6387.666666666667,6397.229625620335
138,6462.0,6475.141073388548,6471.666666666667,6470.285714285715,6487.333277469718
139,6502.0,6474.266138755443,6470.285714285715,6469.25,6481.782163476039
140,6480.0,6515.24336604815,6514.25,6512.888888888889,6515.592993955653
141,6512.0,6491.034377098537,6488.444444444444,6487.6,6482.174688298002
142,6532.0,6524.655969505798,6522.8,6521.818181818182,6524.378378378378
143,6605.0,6544.960102999409,6543.636363636364,6542.666666666667,6544.4295302013425
144,6592.0,6619.6979446737705,6617.213114754099,6617.0161290322585,6614.087369436554
145,6589.0,6605.010931287376,6579.0,6585.5,6615.667201603533
146,6579.0,6601.4805531498105,6581.0,6583.666666666667,6601.559210526316
147,6578.0,6590.247534499357,6570.333333333333,6572.5,6601.91244709594
148,6563.0,6589.384325433434,6571.25,6572.6,6580.435386190502
149,6581.0,6572.4994692267455,6554.6,6556.0,6578.146487688715
150,6640.0,6592.001847286015,6577.0,6577.571428571428,6592.398773611158
151,6627.0,6653.218811885209,6645.0,6644.375,6663.724933014451
152,6635.0,6638.126816922414,6629.75,6629.444444444444,6641.8496642041255
153,6642.0,6646.504300163797,6638.333333333333,6638.0,6638.886055479836
154,6694.0,6653.2441768613035,6645.7,6645.363636363636,6655.183036010942
155,6695.0,6707.173759363081,6702.090909090909,6701.416666666667,6706.509316770186
156,6733.0,6707.393943197635,6702.5,6701.923076923077,6710.032285936813
157,6741.0,6746.477505838575,6742.846153846154,6742.142857142857,6738.089943664021
158,6771.0,6754.295256345309,6750.714285714285,6750.066666666667,6753.844945448751
159,6794.0,6784.685202521963,6782.066666666667,6781.375,6777.614794128455
160,6782.0,6808.062179592866,6805.8125,6805.117647058823,6806.734939759036
161,6825.0,6794.447304358075,6792.411764705882,6791.833333333333,6783.703766604258
162,6862.0,6838.845403571371,6837.222222222223,6836.578947368421,6831.496253767592
163,6957.0,6876.494416370352,6875.526315789473,6874.85,6880.356376495097
164,7017.0,6974.445176735688,6974.6,6973.761904761905,6973.155817112337
165,7065.0,7036.086987643287,7077.0,7047.0,7048.908230910856
166,7109.0,7085.108754833379,7113.0,7089.0,7078.014811450238
167,7126.0,7129.856168859293,7153.0,7131.0,7132.120166754183
168,7188.0,7145.560406576228,7143.0,7134.5,7141.044964532973
169,7298.0,7209.926922201162,7227.5,7214.333333333333,7206.722655440335
170,7314.0,7325.260266510885,7408.0,7353.0,7365.374437597003
171,7312.0,7337.684578047679,7330.0,7322.0,7374.241345623393
172,7308.0,7332.057883501671,7310.0,7311.0,7315.731439711246
173,7297.0,7325.4323740969485,7304.0,7306.0,7324.039308623182
174,7298.0,7312.283157360562,7286.0,7291.5,7306.19330880965
175,7309.0,7311.419431696929,7293.0,7294.666666666667,7307.470308215715
176,7355.0,7325.004102123481,7309.333333333333,7309.25,7322.275301369924
177,7398.0,7374.183250256312,7401.0,7378.0,7375.174633925463
178,7415.0,7418.81034966011,7441.0,7419.5,7422.991203949836
179,7422.0,7434.581101337059,7427.625,7426.222222222223,7431.91610405226
180,7479.0,7440.18051405684,7429.0,7425.5,7434.551155219852
181,7540.0,7498.9508116597835,7495.454545454545,7494.083333333333,7507.806092684178
182,7563.0,7561.519572096591,7560.166666666667,7558.615384615385,7575.903120687316
183,7630.0,7584.09980663658,7583.384615384615,7581.928571428572,7584.990123909597
184,7647.0,7653.370109864797,7653.714285714285,7652.133333333333,7663.177487749584
185,7660.0,7668.823005613721,7670.266666666666,7668.8125,7677.364469965756
186,7689.0,7680.505427221639,7673.0,7666.5,7676.32673780303
187,7692.0,7710.473680255271,7712.0,7710.722222222223,7719.17425259635
188,7695.0,7711.262419112584,7695.0,7693.5,7713.334422320035
189,7691.0,7713.283879585794,7698.0,7697.0,7711.18678827203
190,7700.0,7706.495398284997,7687.0,7689.0,7705.864906415955
191,7721.0,7716.166838011638,7702.5,7701.666666666667,7719.573858577885
192,7722.0,7738.951143831777,7727.4,7726.333333333333,7745.1394751419775
193,7763.0,7737.836861009748,7723.0,7722.5,7741.069357997079
194,7883.0,7782.016266328807,7784.0,7777.0,7786.059019099284
195,7911.0,7905.251010690198,7906.4,7905.5,7927.258795329436
196,7888.0,7932.964279333542,7934.576923076923,7933.7037037037035,7936.956534028374
197,7880.0,7905.089973683217,7865.0,7876.5,7895.559151696277
198,7880.0,7896.55377572425,7864.5,7869.666666666667,7894.700994187707
199,7856.0,7896.137313533136,7869.666666666667,7872.25,7893.124551480283
